Team,Score,Label,Regains/Match,Long Ball Delta,Block %,Bypass %,PPDA,PPDA (HB),xT Disruption %,"Opp Pass%(D3,HB)",Beaten %,Danger %,Shots/Regain/M,xShot/Regain/M,xShot/Regain,Chains/Match
Liverpool,79.5,Wall,72.21,0.1,91.4,0.3,0.94,1.17,70.9,90.6,2.8,24.2,5.16,5.516,0.0764,45.08
Manchester U,75,Wall,75.24,-0.2,91.4,0.4,0.98,1.18,70.3,90.6,2.4,25,3.63,5.537,0.0736,46.55
Arsenal,63.5,Wall,59.74,-1,92.8,0.3,1.04,1.18,71.7,90.9,2.3,26.4,3.58,3.825,0.064,38.11
Chelsea,60.2,Wall,66.16,-1.7,93.1,0.2,1.01,1.23,68.1,91.9,2.7,21.3,4.76,4.783,0.0723,45.76
Wolverhampton,55.8,Balanced,75.81,-0.9,90.9,0.2,1,1.26,67.8,93.1,2.6,26.1,3.89,5.776,0.0762,46.81
Brighton,53,Balanced,71.05,-1.7,93.8,0.2,1.01,1.2,65.9,91.7,2.6,21.5,3.45,4.556,0.0641,51.24
Bournemouth,52.5,Balanced,76.19,-1.7,92.4,0.3,0.94,1.18,68.8,90.3,2.8,25,4.94,5.53,0.0726,49.39
Crystal Palace,51.5,Balanced,80.63,-0.9,89.4,0.1,1,1.25,60.9,91.9,2.5,24.6,4.42,4.702,0.0583,55.05
Fulham,49.2,Balanced,69.76,-1,89.9,0.2,1.01,1.24,59.5,92.1,2.5,22.9,3.95,5.414,0.0776,47.42
Aston Villa,48.8,Balanced,61.97,-0.7,90.1,0.3,1.09,1.3,69.8,92.3,2.9,27,4.03,4.822,0.0778,38.21
Tottenham,48,Balanced,70.13,-1.6,92.8,0.3,0.9,1.1,69.6,89,2.7,25.1,4.89,5.206,0.0742,44.32
Manchester City,45.2,Balanced,57.61,-1.2,93.7,0.3,0.96,1.13,69.3,91.5,2.4,19.7,3.11,3.189,0.0554,50.55
Brentford FC,44.5,Balanced,74.92,-1.9,92.9,0.3,1,1.19,71.3,90.8,3.2,32.2,7.08,7.438,0.0993,42.18
Nottingham,40.2,Balanced,73.11,0.7,85.8,0.2,1.07,1.32,60.9,92.3,2.9,30.7,5.27,7.022,0.096,42.51
West Ham,39.2,Gamble,68.87,-1.1,90.8,0.2,1.05,1.24,69.1,91.3,2.8,27.9,5.24,6.018,0.0874,45.24
Southampton,38.8,Gamble,66.55,-1.2,90.9,0.2,1.02,1.28,72.2,93.2,3.3,31.4,6.84,7.333,0.1102,43.68
Everton,36.8,Gamble,74.53,-0.8,88.7,0.3,1.07,1.28,63.8,93.2,2.7,25.1,5.03,6.247,0.0838,51.95
Leicester,35.8,Gamble,69.55,-0.8,91.2,0.2,1.04,1.33,67.6,92.3,3.1,28.4,6,6.145,0.0884,49.79
Ipswich Town,35.2,Gamble,66.82,-1.3,91.9,0.1,1.09,1.33,70,93.7,2.8,30.6,6.16,6.619,0.0991,45.92
Newcastle,35,Gamble,69.63,-2,91.7,0.2,0.99,1.13,62.1,89.8,2.6,26.1,5.13,5.726,0.0822,46.24
