team,ppda,chains_pm,force_long_ball_pm,recovery_opp_half_pm,press_break_rate_opp_half,lead_to_goal_after_broken_pm,pass_accuracy_under_pressure,line_breaking_pass_rate_under_pressure
Arsenal,9.4973,16.0,7.7632,20.5,0.6053,0.1053,0.8791,0.1585
Aston Villa,11.5872,15.8421,6.2105,21.5526,0.691,0.0789,0.8986,0.1822
Bournemouth,7.5826,21.6389,8.5833,29.5,0.6085,0.0556,0.8901,0.1728
Brentford FC,9.6237,17.3158,7.7632,26.9211,0.617,0.1053,0.8829,0.1536
Brighton,8.3438,20.8947,8.4474,26.2895,0.6058,0.1316,0.8952,0.1729
Chelsea,7.6884,20.8947,8.5263,26.3684,0.5907,0.0263,0.8919,0.1668
Crystal Palace,8.7952,23.7632,9.8421,30.5526,0.6534,0.1316,0.8994,0.1731
Everton,10.4485,22.1579,7.4211,28.8421,0.6746,0.1579,0.9094,0.1683
Fulham,9.6459,20.0526,7.2632,25.9474,0.6588,0.0526,0.9023,0.174
Ipswich Town,12.0972,19.7632,7.9737,24.1316,0.7111,0.2368,0.9225,0.1772
Leicester,10.2321,21.1842,7.1053,27.4211,0.646,0.2895,0.9093,0.1821
Liverpool,7.8964,19.2368,8.0,27.8684,0.6115,0.2105,0.889,0.1558
Manchester City,9.4608,19.9737,10.1842,22.6053,0.6311,0.2105,0.901,0.1546
Manchester U,8.3593,19.7027,9.1892,28.8649,0.6379,0.0541,0.8874,0.1786
Newcastle,8.8198,19.8158,9.8947,27.6579,0.5724,0.0789,0.8796,0.1573
Nottingham,10.9946,19.0811,6.4595,27.4324,0.738,0.0541,0.9096,0.1655
Southampton,10.8009,18.2895,7.4474,25.0789,0.6806,0.1842,0.9176,0.1825
Tottenham,7.972,19.0541,9.4865,26.6216,0.5674,0.2162,0.8819,0.1549
West Ham,9.8067,18.7368,8.4737,26.1316,0.6517,0.1842,0.8949,0.1583
Wolverhampton,9.6259,19.2432,8.3514,27.8108,0.6278,0.1351,0.8983,0.1707
