Team,Z_q,Z_q raw,Label,Regains/Match,Long Ball Delta,Block %,Bypass %,PPDA,PPDA (HB),xT Disruption %,"Opp Pass%(D3,HB)",Beaten %,Danger %,Shots/Regain/M,xShot/Regain/M,xShot/Regain,Chains/Match
Liverpool,2.455,0.999,Wall,72.21,0.1,91.4,0.3,0.94,1.17,70.9,90.6,1.1,24.2,5.16,5.516,0.0764,45.08
Manchester U,1.495,0.608,Wall,75.24,-0.2,91.4,0.4,0.98,1.18,70.3,90.6,0.9,25.0,3.63,5.537,0.0736,46.55
Chelsea,1.15,0.468,Wall,66.16,-1.7,93.1,0.2,1.01,1.23,68.1,91.9,0.8,21.3,4.76,4.783,0.0723,45.76
Arsenal,0.912,0.371,Balanced,59.74,-1.0,92.8,0.3,1.04,1.18,71.7,90.9,0.9,26.4,3.58,3.825,0.064,38.11
Wolverhampton,0.785,0.319,Balanced,75.81,-0.9,90.9,0.2,1.0,1.26,67.8,93.1,0.8,26.1,3.89,5.776,0.0762,46.81
Brighton,0.396,0.161,Balanced,71.05,-1.7,93.8,0.2,1.01,1.2,65.9,91.7,1.0,21.5,3.45,4.556,0.0641,51.24
Bournemouth,0.387,0.157,Balanced,76.19,-1.7,92.4,0.3,0.94,1.18,68.8,90.3,1.1,25.0,4.94,5.53,0.0726,49.39
Tottenham,0.331,0.135,Balanced,70.13,-1.6,92.8,0.3,0.9,1.1,69.6,89.0,0.8,25.1,4.89,5.206,0.0742,44.32
Nottingham,0.151,0.061,Balanced,73.11,0.7,85.8,0.2,1.07,1.32,60.9,92.3,0.8,30.7,5.27,7.022,0.096,42.51
Aston Villa,0.149,0.061,Balanced,61.97,-0.7,90.1,0.3,1.09,1.3,69.8,92.3,0.9,27.0,4.03,4.822,0.0778,38.21
Manchester City,-0.302,-0.123,Balanced,57.61,-1.2,93.7,0.3,0.96,1.13,69.3,91.5,1.0,19.7,3.11,3.189,0.0554,50.55
Crystal Palace,-0.366,-0.149,Balanced,80.63,-0.9,89.4,0.1,1.0,1.25,60.9,91.9,1.1,24.6,4.42,4.702,0.0583,55.05
Fulham,-0.45,-0.183,Balanced,69.76,-1.0,89.9,0.2,1.01,1.24,59.5,92.1,1.0,22.9,3.95,5.414,0.0776,47.42
West Ham,-0.457,-0.186,Balanced,68.87,-1.1,90.8,0.2,1.05,1.24,69.1,91.3,1.1,27.9,5.24,6.018,0.0874,45.24
Brentford FC,-0.504,-0.205,Balanced,74.92,-1.9,92.9,0.3,1.0,1.19,71.3,90.8,1.0,32.2,7.08,7.438,0.0993,42.18
Everton,-1.005,-0.409,Gamble,74.53,-0.8,88.7,0.3,1.07,1.28,63.8,93.2,1.0,25.1,5.03,6.247,0.0838,51.95
Newcastle,-1.187,-0.483,Gamble,69.63,-2.0,91.7,0.2,0.99,1.13,62.1,89.8,1.0,26.1,5.13,5.726,0.0822,46.24
Leicester,-1.211,-0.493,Gamble,69.55,-0.8,91.2,0.2,1.04,1.33,67.6,92.3,1.1,28.4,6.0,6.145,0.0884,49.79
Southampton,-1.277,-0.52,Gamble,66.55,-1.2,90.9,0.2,1.02,1.28,72.2,93.2,1.2,31.4,6.84,7.333,0.1102,43.68
Ipswich Town,-1.451,-0.59,Gamble,66.82,-1.3,91.9,0.1,1.09,1.33,70.0,93.7,0.9,30.6,6.16,6.619,0.0991,45.92
